"ids","exam","midterm","assignment1","assignment2"
1,0.71402118528264,0.659742659062172,1,0.8
2,0.79534076440653,0.802224966459441,0.7,0.6
3,0.79287331970469,0.747189811132684,0.9,0.7
4,0.964749507245399,0.953884324537908,0.9,0.7
5,0.774140943677467,0.705996762651358,1,0.6
6,0.728946868201565,0.707910979169726,0.8,0.7
7,0.915493265126629,0.920404339085701,1,0.9
8,0.872324153667572,0.880504819194961,1,0.7
9,0.86615058604775,0.867140548850504,0.9,0.9
10,0.815704418108577,1,0.7,0.7
11,0.774523204465469,0.859308889238392,0.9,0.6
12,0.804961241011851,0.784689380663877,0.7,0.7
13,0.687747699456956,0.719401902968466,0.9,0.9
14,0.612930254266967,0.694871432028866,1,0.6
15,0.920817165792113,0.925093418243657,1,0.8
16,0.762327593277288,0.85381731998787,1,0.8
17,0.798975033854306,0.893937274589216,0.8,0.6
18,0.889738660726314,0.889974585452152,0.8,0.8
19,0.692817315413386,0.867455402919438,0.9,0.6
20,0.693242984032165,0.762083872265466,1,0.6
21,0.695712945844537,0.729237104156435,0.7,0.9
22,0.721241994042622,0.702570845517501,0.8,0.6
23,0.77259312942913,0.775262174328335,0.8,0
24,0.699119455091612,0.63395637001157,0.8,0.8
25,0.651397957200593,0.599396283402392,0.7,0.6
26,0.939928040854445,0.945170342243363,0.9,0
27,0.721004705678625,0.624153769139813,0.7,1
28,0.899310492552706,0.908429823953176,0.7,0.7
29,0.865428292758192,0.866356618730794,0.9,0.6
30,0.477916677435368,0.472587368459797,0.8,0.6
31,0.924813100216941,0.908144045060833,0.9,0.8
32,0.963111324846431,0.957367869942889,0.7,0.8
33,0.534314504593719,0.541764635874964,0.7,1
34,0.766582321404601,0.839141284227578,0.9,0.7
35,0.697836775916066,0.619206672745263,0.8,0.6
36,0.83069038678666,0.677401197117982,0.9,0.6
37,0.900049597238393,0.907838728498137,0.7,0.6
38,0.888102317423066,0.879980259869926,0.9,0
39,0.883032376221998,0.874259934142353,0.9,0.7
40,0.904484332750168,0.903703622036362,0.8,0.7
41,0.67261449659382,0.79327967052372,0.7,0.7
42,0.62396258999831,0.622472280276602,0.9,0
43,0.745915556004732,0.648372970883252,0.7,0.8
44,0.69831595838202,0.74694766754711,0.8,0.6
45,0.642814162974118,0.680627069579461,1,0.7
46,0.720938743394139,0.706517955441172,0.8,0.6
47,0.439866780926612,0.452667942795171,1,0.6
48,0.588964020895751,0.615175752019164,0.8,0.6
49,0.693754555182673,0.76971513073663,0.7,0.7
50,0.723538613215644,0.832419929119751,0.8,0.6
51,0.85568186310384,0.852659696727242,0.7,0.6
52,0.73161622610764,0.993078799572019,0.8,0.8
53,0.768478083736525,0.840464542736691,1,0
54,0.780313656352544,0.68932785170772,0.9,0.6
55,0.685065811377687,0.794019330244675,0.7,0.7
56,0.470497693348759,0.474129643655474,1,1
57,0.801782542138466,0.841285990937249,1,0.8
58,0.71925942482459,0.589317475401885,0.9,0.6
59,0.851311104460109,0.869270098605739,1,0
60,0.704389105437399,0.644720936634639,0.9,0
61,0.476780393132223,0.490355139480255,0.9,0.6
62,0.67349775331329,0.582435130263867,0.9,0.6
63,0.83633966300144,0.860372221603046,0.7,0.6
64,0.726011640238622,0.773027423973801,1,0.8
65,0.801962138469019,0.785647707035744,1,0.6
66,0.584427558129179,0.582350252762928,0.8,0.8
67,0.831918332397621,0.763209820986348,0.7,0.6
68,0.764082311295621,0.787384866165783,1,0.6
69,0.563697233535744,0.562955459424604,1,0.9
70,0.688812888104157,0.615148146520871,0.7,0.8
71,0.895354760044062,0.905425043799654,0.7,0.7
72,0.849238242857423,0.789376514190655,0.8,0.6
73,0.681597322206271,0.615676008331529,0.9,0.9
74,0.801166626270311,0.749615088433013,0.8,0.7
75,0.891789398540429,0.889977359639139,0.9,0.6
76,0.564290259928615,0.56442939142645,0.7,0.7
77,0.681495878263385,0.695808967229747,0.7,0.6
78,0.89441803764908,0.898053765785458,0.7,0.6
79,0.828593278685666,0.80868013392642,0.8,0.7
80,0.639790504771155,0.454785775404564,0.8,0.8
81,0.670898274061993,0.654963441468803,0.9,0.7
82,0.932665596217343,0.938301734298556,1,0.6
83,0.630031255038513,0.684714236115595,0.8,0.6
84,0.747976441106831,0.743687505034314,0.9,0.7
85,0.907743233724444,0.892405932626315,0,0.9
86,0.511935276996692,0.521319188189022,1,0.8
87,0.768159332879534,0.899317845664306,0.9,0.6
88,0.842944262472036,0.613813133062744,0.7,0
89,0.891349892462819,0.893209136202626,0.7,0.8
90,0.651144644428292,0.581277990212511,0.9,0.6
91,0.88668282937601,0.88642350172467,0.7,0.8
92,0.679986220904139,0.764909226860409,0.7,0.6
93,0.718856582327565,0.681094014789546,1,0.8
94,0.839585039683938,0.877015418404032,0.8,0.6
95,0.863926742614023,0.869520293519554,0.7,0.7
96,0.87264921756981,0.872630950579809,0.9,0.8
97,0.650147636144796,0.668334959596394,1,0.8
98,0.797790790726727,0.771887744755271,0.9,0.7
99,0.525968143276272,0.520288062225107,0.7,0.7
100,0.756695688092202,0.567902959437684,0.7,0.7
101,0.481287708099566,0.482507358561996,0.7,0.9
102,0.959770922357768,0.941128623827411,0.7,0.6
103,0.768170369790308,0.745532430845521,0.8,0.7
104,0.900665578190511,0.910978349202909,0.9,0.6
105,0.909863865338726,0.911359672285562,0.7,0.6
106,0.596222509461078,0.582627945447776,0.7,0.7
107,0.687758380884954,0.724342899398897,0,0.6
108,0.634272761387134,0.66259119983161,1,0.9
109,0.872808458258406,0.868866309435132,0.9,0.9
110,0.704988568277164,0.632692531486339,0.9,0.7
111,0.436619687416935,0.432390049151435,1,0.6
112,0.855666092087773,0.857267046930731,0.9,0.7
113,0.495580062843707,0.511483737042075,0.8,0.6
114,0.673335273045825,0.82148498909562,0.9,0.7
115,0.721947039694761,0.723876176066373,0.7,0.7
116,0.711115228868136,0.635521662653517,0.8,0.6
117,0.923077983608694,0.916048018563887,0.7,0.7
118,0.762572897116475,0.728004032093926,1,0
119,0.693393782511265,0.774067667649774,0.8,0.8
120,0.859110392126957,0.856990130205926,0.7,0.6
121,0.992342643330987,0.995600920540263,0.9,0.9
122,0.812489514720811,0.883130681788626,1,0.6
123,0.681297718269455,0.602156121801321,0.9,0.9
124,0.82873960810836,0.878948528865585,0.9,1
125,0.637049290262506,0.578128469839206,1,0.7
126,0.644359420793024,0.652243976409623,0.9,0.7
127,0.829779769587403,0.724741532966247,0.9,0
128,0.684174448335002,0.716688690612299,1,0.8
129,0.596657089957309,0.575608373811817,1,0.6
130,0.746898270676518,0.651387996049981,0.8,0
131,0.373295202632713,0.367988803889998,1,0.7
132,0.810600212378691,0.893344262577244,0.9,0.7
133,0.767832093651958,0.711313955739892,1,0.6
134,0.619061917898318,0.667307452872527,0.8,0.7
135,0.763127343439022,0.746678199548008,0.8,0.6
136,0.941990056402379,0.947731541736312,1,0.7
137,0.83564112421928,0.737017856815236,0.7,0.7
138,0.71908457447183,0.762791453784087,1,0.6
139,0.763439148462356,0.721005821522632,0.8,0
140,0.807541457261321,0.736943671335192,1,0.8
141,0.679309943418138,0.760361559582122,0.7,0.7
142,0.889209304925864,0.890440185517857,0.7,1
143,0.646143781726081,0.57456765082122,1,0.6
144,0.693245657154644,0.655655169089531,0.8,0.8
145,0.813154056891691,0.836029938410092,0.7,0.8
146,0.582491669014591,0.596426594360737,0.7,0.6
147,0.6742653774551,0.693796993508114,0.8,0.7
148,0.688524669942708,0.981127195770208,0.8,0.6
149,0.665334976705671,0.446024020545208,1,0.9
150,0.591015513347944,0.597631635820175,0.9,0.7
151,0.859566061572137,0.881651786673014,1,0.6
152,0.600957310348238,0.450737425352174,0.9,0.7
153,0.723562569079502,0.681539832471293,0.9,0.6
154,0.803947903189519,0.919085411451194,0.7,0.7
155,0.707564622138973,0.633484054507349,0.9,0
156,0.896465929353978,0.90657982797337,0.7,0.8
157,0.751468968156595,0.784105429880317,0.7,0.6
158,0.641056435782482,0.828679847422921,0.8,0
159,0.735326662167976,0.776330456021563,1,0.7
160,0.591399407181895,0.595528868544738,0.9,0.7
161,0.81882611593911,0.782262699474501,0.8,0.6
162,0.898633014950516,0.902501535631802,0.8,0
163,0.756784951044113,0.841739496878464,0.8,0.7
164,0.83231575639885,0.871722529777913,0.7,0.6
165,0.780484706853067,0.814698893949252,0.8,0.7
166,0.921432367198168,0.928758885482749,0.8,0.8
167,0.788423604611901,0.988976565566993,1,0.7
168,0.660207199319911,0.718109309209216,0.9,0.7
169,0.829545688521562,0.814922248220287,0.7,0.7
170,0.63227776438387,0.549416996695228,0.9,0.6
171,0.598604908086381,0.585826512178548,0.9,0.6
172,0.849647309020625,0.993490374613891,0.9,0
173,0.765628425855648,0.715411849464176,0.9,0
174,0.864307212639321,0.854684644220915,0.8,0.6
175,0.799989315699446,0.824712882089287,0.8,0.6
176,0.860456542491988,0.871607179647257,0.8,0.8
177,0.798801057732136,0.760018091847133,0.8,0.6
178,0.787103155550093,0.64531594916988,0.9,0.8
179,0.792911630153136,0.794421302896057,0.9,0.7
180,0.791194630929716,0.746731671842311,0.8,0.9
181,0.827524367185129,0.703002184381597,0.7,0.7
182,0.607039948216568,0.603341387218485,1,0.6
183,0.958098852594152,0.98668403161578,1,0.6
184,0.86335530105351,0.859923923531455,1,0.6
185,0.66619321755402,0.593850609730684,0.9,0.7
186,0.713757944881626,0.731725953918871,0.7,0
187,0.840444651744651,0.690314953440955,1,0.7
188,0.608614216422031,0.51929449398426,1,0.6
189,0.733585101818898,0.839844690958995,0,0.7
190,0.838270936434711,0.760976565772303,1,0.7
191,0.696183534222119,0.673457837794244,1,0.7
192,0.765823156760475,0.864499345310122,0.9,0
193,0.66052188391018,0.674540888064493,1,0.6
194,0.488485936239939,0.500381711454102,0.7,0.7
